City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Chernyshevskiy,RU,80.47,overcast clouds,63.0128,112.4714,Chernyseyskiy
641,Fare,PF,79.93,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
644,Samarai,PG,78.64,light rain,-10.6167,150.6667,Nuli Sapi
645,Sal Rei,CV,75.06,clear sky,16.1833,-22.9167,Marine Club Beach Resort
648,Barinas,VE,80.64,clear sky,8.6226,-70.2075,Hotel Mastranto Suite
649,Mucurapo,TT,79.25,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
655,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
656,Namatanai,PG,84.63,light rain,-3.6667,152.4333,Seagulls Inn Namatani
657,Sampit,ID,80.46,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
658,Ulaangom,MN,75.52,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
660,Brokopondo,SR,76.8,overcast clouds,4.75,-55.1667,Matu Island
661,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
669,Houma,US,84.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
673,Pasighat,IN,80.76,overcast clouds,28.0667,95.3333,Siang Guest House
676,Soe,ID,75.87,overcast clouds,-9.8607,124.284,Dena Hotel
677,Kibala,TD,78.75,thunderstorm,9.1104,18.3463,hotel safari
680,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
681,Wagar,SD,83.53,scattered clouds,16.1525,36.2032,
683,Kerema,PG,82.67,overcast clouds,-7.9631,145.7785,Frena Lodge
687,Sabla,NG,82.38,scattered clouds,12.7525,4.7077,
689,San Benedetto Del Tronto,IT,78.04,clear sky,42.9456,13.8816,Hotel Imperial
694,Cumana,VE,78.87,broken clouds,10.4635,-64.1775,Posada Acuarela Los Roques
698,San Pedro,PH,84.31,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
701,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
703,Chifeng,CN,82.76,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
